Feature ID,Feature Idea,Feature Group,Feature Group ID,Depends On,Phase,Feature Category,Conversion & Acquisition,Customer Experience,Operational Efficiency,Financial Visibility,Technical Foundation,Marketing Enablement,Search & Discovery Authority
FG-01.01,Tech tips library,Pre-Login Marketing & Authority,FG-01,,1,,x,,,,,,x
FG-01.02,Tech corner / editorial hub,Pre-Login Marketing & Authority,FG-01,,1,,x,,,,,,x
FG-01.03,News and SEO content program,Pre-Login Marketing & Authority,FG-01,,1,,x,,,,,,x
FG-01.04,AI search authority content strategy,Pre-Login Marketing & Authority,FG-01,,1,,x,,,,,,x
FG-01.05,Failure pattern insights,Pre-Login Marketing & Authority,FG-01,,1,,x,,,,,,x
FG-01.06,Installation guides,Pre-Login Marketing & Authority,FG-01,,1,,x,x,,,,,x
FG-01.07,Vendor and brand video content,Pre-Login Marketing & Authority,FG-01,FG-05.06,1,,x,x,,,,,x
FG-01.08,Delivery ETA preview,Pre-Login Marketing & Authority,FG-01,,1,,x,x,,,,,
FG-01.09,Pre-login catalog browsing,Pre-Login Marketing & Authority,FG-01,,1,,x,x,,,,,x
FG-01.10,Downtime cost calculator,Pre-Login Marketing & Authority,FG-01,,1,,x,,,,,,
FG-01.11,Domain consolidation and redirect strategy v1,Pre-Login Marketing & Authority,FG-01,FG-09.02,1,,x,,,,x,,x
FG-01.12,Domain consolidation and redirect strategy v2,Pre-Login Marketing & Authority,FG-01,FG-01.11,3,,x,,,,x,,x
FG-02.01,Nationwide inventory visibility,Part Search & Discovery,FG-02,,2,,,x,,,,,
FG-02.02,VIN-based part lookup,Part Search & Discovery,FG-02,,2,,,x,,,,,
FG-02.03,OEM cross-reference search,Part Search & Discovery,FG-02,,2,,,x,,,,,
FG-02.04,Fuzzy search and autocomplete,Part Search & Discovery,FG-02,,2,,,x,,,,,
FG-02.05,Smart disambiguation prompts,Part Search & Discovery,FG-02,,2,,,x,x,,,,
FG-02.06,License plate lookup,Part Search & Discovery,FG-02,FG-02.02,2,,,x,,,,,
FG-02.07,Part compatibility badge,Part Search & Discovery,FG-02,,2,,,x,x,,,,
FG-02.08,CARB compliance explanation,Part Search & Discovery,FG-02,FG-04.03,2,,,x,,,,,
FG-03.01,User-level ordering within a shop account,"Cart, Ordering & Upsell",FG-03,FG-03.01,3,,,x,x,,,,
FG-03.02,Multi-user and multi-location account management,"Cart, Ordering & Upsell",FG-03,"FG-02.04, FG-02.05",3,,,x,x,,,,
FG-03.03,AI-powered part recommendation assistant,"Cart, Ordering & Upsell",FG-03,FG-02.04,2,,,x,x,,,,x
FG-03.04,Cross-sell and upsell at point of lookup,"Cart, Ordering & Upsell",FG-03,"FG-02.02, FG-02.03",3,,x,x,,,,,
FG-03.05,Kit builder,"Cart, Ordering & Upsell",FG-03,,2,,x,x,,,,,
FG-04.01,Guided new account onboarding,Shop Dashboard & Account Management,FG-04,,2,,x,x,,,,,
FG-04.02,Rep contact surfacing,Shop Dashboard & Account Management,FG-04,,2,,,x,x,,,,
FG-04.03,Persistent session / remembered device login,Shop Dashboard & Account Management,FG-04,FG-08.03,3,,,x,,,,,
FG-04.04,Loyalty and tenure recognition,Shop Dashboard & Account Management,FG-04,FG-08.03,3,,x,x,,,,,
FG-04.05,Personalized post-login experience,Shop Dashboard & Account Management,FG-04,FG-05.04,2,,x,x,,,x,,
FG-05.01,Real-time delivery tracking page,Delivery & Fulfillment Visibility,FG-05,FG-05.04,2,,,x,,,,,
FG-05.02,Delivery fleet geo-fencing for customers,Delivery & Fulfillment Visibility,FG-05,,2,,,x,,,,,
FG-05.03,Tracking number surfacing for all delivery types,Delivery & Fulfillment Visibility,FG-05,,3,,,x,x,,,,
