Feature ID,Depends On,Phase,Feature Idea,KPIs,Feature Group,Feature Group ID,Conversion & Acquisition,Customer Experience,Operational Efficiency,Financial Visibility,Technical Foundation,Marketing Enablement,Search & Discovery Authority
FG-01,,,Pre-Login Marketing & Authority,Organic traffic growth; New account registrations from pre-login; Time on site (pre-login); AI/LLM citation of 1800R content,,,,,,,,,
FG-01.01,,1.5,Tech tips library,Organic entrances to content pages; Avg time on page,Pre-Login Marketing & Authority,FG-01,x,,,,,,x
FG-01.02,,1.5,Tech corner / editorial hub,Organic entrances to content pages; Return visits to hub,Pre-Login Marketing & Authority,FG-01,x,,,,,,x
FG-01.03,,1.5,News and SEO content program,Organic search impressions; Keyword ranking growth,Pre-Login Marketing & Authority,FG-01,x,,,,,,x
FG-01.04,,1.5,AI search authority content strategy,AI/LLM citation rate; Featured snippet capture rate,Pre-Login Marketing & Authority,FG-01,x,,,,,,x
FG-01.05,,1.5,Failure pattern insights,Page views; Engagement rate; Account creation from content pages,Pre-Login Marketing & Authority,FG-01,x,,,,,,x
FG-01.06,,1.5,Installation guides,Page views; QR code scans (if linked from packaging),Pre-Login Marketing & Authority,FG-01,x,x,,,,,x
FG-01.07,,1.5,Vendor and brand video content,Video play rate; Avg watch duration,Pre-Login Marketing & Authority,FG-01,x,x,,,,,x
FG-01.08,,1.5,Delivery ETA preview,Engagement with ETA module pre-login; Account creation from ETA touchpoint,Pre-Login Marketing & Authority,FG-01,x,x,,,,,
FG-01.09,,1.5,Pre-login catalog browsing,Browse sessions; Conversion from browse to account creation,Pre-Login Marketing & Authority,FG-01,x,x,,,,,x
FG-01.10,,1.5,Downtime cost calculator,Calculator completion rate; Account creation from calculator,Pre-Login Marketing & Authority,FG-01,x,,,,,,
FG-01.11,FG-09.03,1.5,Domain consolidation and redirect strategy v1,Reduction in crawl errors; Organic traffic consolidation; 404 rate,Pre-Login Marketing & Authority,FG-01,x,,,,x,,x
FG-01.12,FG-09.03,3.5,Domain consolidation and redirect strategy v2,Reduction in crawl errors; Organic traffic consolidation; 404 rate,Pre-Login Marketing & Authority,FG-01,x,,,,x,,x
FG-02,FG-09.03,,Part Search & Discovery,Lookup completion rate; Part lookup to order conversion rate; Wrong part return rate,,,,,,,,,
FG-02.01,FG-09.02,2.5,Nationwide inventory visibility,"Reduction in ""call for availability"" instances; Lookup abandonment rate",Part Search & Discovery,FG-02,,x,,,,,
FG-02.02,,2,VIN-based part lookup,VIN lookup adoption rate; Lookup-to-order conversion vs. YMM lookup,Part Search & Discovery,FG-02,,x,,,,,
FG-02.03,,2,OEM cross-reference search,Cross-ref lookup volume; Attach rate of cross-ref to order,Part Search & Discovery,FG-02,,x,,,,,
FG-02.04,,2,Fuzzy search and autocomplete,Search completion rate; Reduction in zero-result searches,Part Search & Discovery,FG-02,,x,,,,,
FG-02.05,FG-02.04,2.5,Smart disambiguation prompts,Disambiguation interaction rate; Reduction in wrong-part returns,Part Search & Discovery,FG-02,,x,x,,,,
FG-02.06,FG-02.04,2.5,License plate lookup,License plate lookup adoption rate,Part Search & Discovery,FG-02,,x,,,,,
FG-02.07,,2.5,Part compatibility badge,Reduction in wrong-part returns; Badge interaction rate,Part Search & Discovery,FG-02,,x,x,,,,
FG-02.08,FG-02.02,2.5,CARB compliance explanation,"Reduction in ""call for availability"" in CARB states; Support call volume in CA",Part Search & Discovery,FG-02,,x,,,,,
FG-03,FG-09.03,,"Cart, Ordering & Upsell",Average order value (AOV); Attach rate of secondary categories; Cart abandonment rate,,,,,,,,,
FG-03.01,,3.5,User-level ordering within a shop account,Orders attributed to individual users (vs. shop account); Multi-user adoption rate,"Cart, Ordering & Upsell",FG-03,,x,x,,,,
FG-03.02,,3.5,Multi-user and multi-location account management,Multi-user account adoption; Orders per account increase,"Cart, Ordering & Upsell",FG-03,,x,x,,,,
FG-03.03,FG-08.03,2.5,AI-powered part recommendation assistant,Recommendation acceptance rate; AOV lift from recommendations,"Cart, Ordering & Upsell",FG-03,,x,x,,,,x
FG-03.04,"FG-08.03, FG-09.04",3.5,Cross-sell and upsell at point of lookup,Attach rate of cross-sell items; AOV lift,"Cart, Ordering & Upsell",FG-03,x,x,,,,,
FG-03.05,,2.5,Kit builder,Kit builder adoption rate; AOV lift from kit orders; Return rate on kit orders,"Cart, Ordering & Upsell",FG-03,x,x,,,,,
FG-04,FG-09.03,,Shop Dashboard & Account Management,Logged-in session frequency; Account retention rate; Rep contact utilization,,,,,,,,,
FG-04.01,,2,Guided new account onboarding,Onboarding completion rate; Time to first order post-registration,Shop Dashboard & Account Management,FG-04,x,x,,,,,
FG-04.02,,2,Rep contact surfacing,Rep contact click rate; Inbound call volume reduction,Shop Dashboard & Account Management,FG-04,,x,x,,,,
FG-04.03,FG-08.03,3,Persistent session / remembered device login,Login frequency per user; Session drop-off at login screen,Shop Dashboard & Account Management,FG-04,,x,,,,,
FG-04.04,"FG-08.03, FG-09.04",3,Loyalty and tenure recognition,Repeat purchase rate; Customer tenure; Churn rate among recognized accounts,Shop Dashboard & Account Management,FG-04,x,x,,,,,
